rating_difference,bullet_g,bullet_r,bullet_p,blitz_g,blitz_r,blitz_p,rapid_g,rapid_r,rapid_p,classical_g,classical_r,classical_p
380,38,18,0.23684210526315788,12,1,0.041666666666666664,2,0,0.0,0,0,0
400,33,12,0.18181818181818182,12,6,0.25,1,0,0.0,0,0,0
420,37,19,0.25675675675675674,12,7,0.2916666666666667,0,0,,0,0,0
440,26,5,0.09615384615384616,7,2,0.14285714285714285,2,0,0.0,0,0,0
460,22,2,0.045454545454545456,9,2,0.1111111111111111,0,0,,0,0,0
480,28,4,0.07142857142857142,5,2,0.2,0,0,,0,0,0
500,19,9,0.23684210526315788,4,0,0.0,0,0,,0,0,0
520,18,6,0.16666666666666666,5,0,0.0,0,0,,0,0,0
540,8,0,0.0,1,0,0.0,0,0,,0,0,0
560,16,8,0.25,2,0,0.0,0,0,,0,0,0
580,8,2,0.125,3,2,0.3333333333333333,0,0,,0,0,0
600,11,0,0.0,4,0,0.0,0,0,,0,0,0
620,14,2,0.07142857142857142,0,0,,0,0,,0,0,0
640,7,0,0.0,2,0,0.0,0,0,,0,0,0
660,13,2,0.07692307692307693,3,0,0.0,0,0,,0,0,0
680,10,2,0.1,2,0,0.0,0,0,,0,0,0
700,2,0,0.0,1,0,0.0,0,0,,0,0,0
720,7,0,0.0,0,0,,0,0,,0,0,0
740,4,0,0.0,1,0,0.0,0,0,,0,0,0
760,6,0,0.0,2,0,0.0,0,0,,0,0,0
780,2,0,0.0,0,0,,0,0,,0,0,0
800,5,2,0.2,0,0,,0,0,,0,0,0
820,3,0,0.0,0,0,,0,0,,0,0,0
840,1,0,0.0,0,0,,0,0,,0,0,0
860,1,0,0.0,1,0,0.0,0,0,,0,0,0
880,1,0,0.0,0,0,,0,0,,0,0,0
900,2,0,0.0,3,0,0.0,0,0,,0,0,0
920,1,0,0.0,0,0,,0,0,,0,0,0
940,1,0,0.0,0,0,,0,0,,0,0,0
960,2,0,0.0,0,0,,0,0,,0,0,0
980,0,0,,0,0,,0,0,,0,0,0
1000,1,0,0.0,0,0,,0,0,,0,0,0
1020,0,0,,0,0,,0,0,,0,0,0
1040,2,0,0.0,0,0,,0,0,,0,0,0
1060,1,0,0.0,0,0,,0,0,,0,0,0
1080,0,0,,0,0,,0,0,,0,0,0
1100,0,0,,0,0,,0,0,,0,0,0
1120,2,0,0.0,0,0,,0,0,,0,0,0
1140,1,0,0.0,0,0,,0,0,,0,0,0
1160,0,0,,0,0,,0,0,,0,0,0
1180,2,0,0.0,0,0,,0,0,,0,0,0
1200,1,0,0.0,0,0,,0,0,,0,0,0
1220,0,0,,0,0,,0,0,,0,0,0
1240,0,0,,0,0,,0,0,,0,0,0
1260,0,0,,0,0,,0,0,,0,0,0
1280,1,0,0.0,0,0,,0,0,,0,0,0
1300,0,0,,0,0,,0,0,,0,0,0
1320,0,0,,0,0,,0,0,,0,0,0
1340,1,0,0.0,0,0,,0,0,,0,0,0
1360,0,0,,0,0,,0,0,,0,0,0
1380,0,0,,0,0,,0,0,,0,0,0
1400,0,0,,0,0,,0,0,,0,0,0
1420,0,0,,0,0,,0,0,,0,0,0
1440,0,0,,0,0,,0,0,,0,0,0
1460,0,0,,0,0,,0,0,,0,0,0
1480,0,0,,0,0,,0,0,,0,0,0
1500,0,0,,0,0,,0,0,,0,0,0
