hours,bullet_g,bullet_w,bullet_d,bullet_l,bullet_res,bullet_diff,bullet_diff_avg,blitz_g,blitz_w,blitz_d,blitz_l,blitz_res,blitz_diff,blitz_diff_avg,rapid_g,rapid_w,rapid_d,rapid_l,rapid_res,rapid_diff,rapid_diff_avg,classical_g,classical_w,classical_d,classical_l,classical_res,classical_diff,classical_diff_avg,_g,_w,_d,_l,_res,_diff,_diff_avg
00,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
01,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
02,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
03,1,0,0,1,-1,-7,-7.0,2,2,0,0,2,15,7.5,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,2,0,1,1,8,2.6666666666666665
04,3,1,0,2,-1,-4,-1.3333333333333333,2,0,0,2,-2,-14,-7.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,1,0,4,-3,-18,-6.0
05,6,2,0,4,-2,-9,-1.5,1,1,0,0,1,8,8.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,3,0,4,-1,-1,-0.3333333333333333
06,19,12,0,7,5,23,1.2105263157894737,6,2,0,4,-2,-13,-2.1666666666666665,0,0,0,0,0,0,,0,0,0,0,0,0,0,25,14,0,11,3,10,3.3333333333333335
07,26,11,0,15,-4,-16,-0.6153846153846154,14,8,0,6,2,8,0.5714285714285714,0,0,0,0,0,0,,0,0,0,0,0,0,0,40,19,0,21,-2,-8,-2.6666666666666665
08,38,16,0,22,-6,-33,-0.868421052631579,12,5,0,7,-2,-8,-0.6666666666666666,0,0,0,0,0,0,,0,0,0,0,0,0,0,50,21,0,29,-8,-41,-13.666666666666666
09,32,17,0,15,2,10,0.3125,5,2,0,3,-1,-8,-1.6,0,0,0,0,0,0,,0,0,0,0,0,0,0,37,19,0,18,1,2,0.6666666666666666
10,50,16,0,34,-18,-94,-1.88,13,4,1,8,-4,-22,-1.6923076923076923,0,0,0,0,0,0,,0,0,0,0,0,0,0,63,20,1,42,-22,-116,-38.666666666666664
11,45,17,2,26,-9,-43,-0.9555555555555556,10,6,0,4,2,9,0.9,0,0,0,0,0,0,,0,0,0,0,0,0,0,55,23,2,30,-7,-34,-11.333333333333334
12,47,24,1,22,2,23,0.48936170212765956,15,8,0,7,1,9,0.6,0,0,0,0,0,0,,0,0,0,0,0,0,0,62,32,1,29,3,32,10.666666666666666
13,76,38,3,35,3,35,0.4605263157894737,30,17,1,12,5,42,1.4,1,0,0,1,-1,-123,-123.0,0,0,0,0,0,0,0,107,55,4,48,7,-46,-15.333333333333334
14,61,32,4,25,7,45,0.7377049180327869,27,14,1,12,2,8,0.2962962962962963,0,0,0,0,0,0,,0,0,0,0,0,0,0,88,46,5,37,9,53,17.666666666666668
15,80,39,0,41,-2,9,0.1125,40,18,0,22,-4,-19,-0.475,0,0,0,0,0,0,,0,0,0,0,0,0,0,120,57,0,63,-6,-10,-3.3333333333333335
16,83,39,0,44,-5,-31,-0.37349397590361444,44,21,0,23,-2,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,127,60,0,67,-7,-31,-10.333333333333334
17,90,41,1,48,-7,-26,-0.28888888888888886,24,14,0,10,4,22,0.9166666666666666,0,0,0,0,0,0,,0,0,0,0,0,0,0,114,55,1,58,-3,-4,-1.3333333333333333
18,64,31,0,33,-2,11,0.171875,26,12,2,12,0,-7,-0.2692307692307692,0,0,0,0,0,0,,0,0,0,0,0,0,0,90,43,2,45,-2,4,1.3333333333333333
19,55,27,2,26,1,-12,-0.21818181818181817,21,10,0,11,-1,-23,-1.0952380952380953,0,0,0,0,0,0,,0,0,0,0,0,0,0,76,37,2,37,0,-35,-11.666666666666666
20,51,20,2,29,-9,-47,-0.9215686274509803,24,12,0,12,0,2,0.08333333333333333,0,0,0,0,0,0,,0,0,0,0,0,0,0,75,32,2,41,-9,-45,-15.0
21,28,13,0,15,-2,2,0.07142857142857142,9,2,0,7,-5,-29,-3.2222222222222223,1,1,0,0,1,88,88.0,0,0,0,0,0,0,0,38,16,0,22,-6,61,20.333333333333332
22,12,9,0,3,6,35,2.9166666666666665,8,5,0,3,2,15,1.875,0,0,0,0,0,0,,0,0,0,0,0,0,0,20,14,0,6,8,50,16.666666666666668
23,7,3,0,4,-1,-1,-0.14285714285714285,1,1,0,0,1,6,6.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8,4,0,4,0,5,1.6666666666666667
