opponent_rating,bullet_g,bullet_r,bullet_p,blitz_g,blitz_r,blitz_p,rapid_g,rapid_r,rapid_p,classical_g,classical_r,classical_p
500,0,0,,0,0,,0,0,,0,0,0
520,0,0,,0,0,,0,0,,0,0,0
540,0,0,,0,0,,0,0,,0,0,0
560,0,0,,0,0,,0,0,,0,0,0
580,0,0,,0,0,,0,0,,0,0,0
600,0,0,,0,0,,0,0,,0,0,0
620,0,0,,0,0,,0,0,,0,0,0
640,0,0,,0,0,,0,0,,0,0,0
660,0,0,,0,0,,0,0,,0,0,0
680,0,0,,0,0,,0,0,,0,0,0
700,0,0,,0,0,,0,0,,0,0,0
720,0,0,,0,0,,0,0,,0,0,0
740,2,0,0.0,0,0,,0,0,,0,0,0
760,2,2,0.5,0,0,,0,0,,0,0,0
780,6,6,0.5,0,0,,0,0,,0,0,0
800,5,8,0.8,0,0,,0,0,,0,0,0
820,11,12,0.5454545454545454,0,0,,0,0,,0,0,0
840,14,24,0.8571428571428571,0,0,,0,0,,0,0,0
860,30,40,0.6666666666666666,0,0,,0,0,,0,0,0
880,43,50,0.5813953488372093,0,0,,0,0,,0,0,0
900,61,66,0.5409836065573771,0,0,,0,0,,0,0,0
920,61,54,0.4426229508196721,0,0,,0,0,,0,0,0
940,85,92,0.5411764705882353,0,0,,0,0,,0,0,0
960,77,71,0.461038961038961,0,0,,0,0,,0,0,0
980,83,66,0.39759036144578314,0,0,,0,0,,0,0,0
1000,99,84,0.42424242424242425,0,0,,0,0,,0,0,0
1020,85,84,0.49411764705882355,0,0,,0,0,,0,0,0
1040,67,53,0.39552238805970147,0,0,,0,0,,0,0,0
1060,52,48,0.46153846153846156,0,0,,0,0,,0,0,0
1080,47,33,0.35106382978723405,5,8,0.8,0,0,,0,0,0
1100,17,12,0.35294117647058826,4,4,0.5,0,0,,0,0,0
1120,18,20,0.5555555555555556,14,12,0.42857142857142855,0,0,,0,0,0
1140,5,2,0.2,28,35,0.625,0,0,,0,0,0
1160,3,4,0.6666666666666666,40,47,0.5875,0,0,,0,0,0
1180,0,0,,55,54,0.4909090909090909,0,0,,0,0,0
1200,1,0,0.0,50,56,0.56,0,0,,0,0,0
1220,0,0,,52,53,0.5096153846153846,0,0,,0,0,0
1240,0,0,,20,12,0.3,0,0,,0,0,0
1260,0,0,,35,22,0.3142857142857143,0,0,,0,0,0
1280,0,0,,20,16,0.4,1,2,1.0,0,0,0
1300,0,0,,4,8,1.0,0,0,,0,0,0
1320,0,0,,5,4,0.4,0,0,,0,0,0
1340,0,0,,0,0,,1,0,0.0,0,0,0
1360,0,0,,2,2,0.5,0,0,,0,0,0
1380,0,0,,0,0,,0,0,,0,0,0
1400,0,0,,0,0,,0,0,,0,0,0
1420,0,0,,0,0,,0,0,,0,0,0
1440,0,0,,0,0,,0,0,,0,0,0
1460,0,0,,0,0,,0,0,,0,0,0
1480,0,0,,0,0,,0,0,,0,0,0
1500,0,0,,0,0,,0,0,,0,0,0
1520,0,0,,0,0,,0,0,,0,0,0
1540,0,0,,0,0,,0,0,,0,0,0
1560,0,0,,0,0,,0,0,,0,0,0
1580,0,0,,0,0,,0,0,,0,0,0
1600,0,0,,0,0,,0,0,,0,0,0
1620,0,0,,0,0,,0,0,,0,0,0
1640,0,0,,0,0,,0,0,,0,0,0
1660,0,0,,0,0,,0,0,,0,0,0
1680,0,0,,0,0,,0,0,,0,0,0
1700,0,0,,0,0,,0,0,,0,0,0
1720,0,0,,0,0,,0,0,,0,0,0
1740,0,0,,0,0,,0,0,,0,0,0
1760,0,0,,0,0,,0,0,,0,0,0
1780,0,0,,0,0,,0,0,,0,0,0
1800,0,0,,0,0,,0,0,,0,0,0
1820,0,0,,0,0,,0,0,,0,0,0
1840,0,0,,0,0,,0,0,,0,0,0
1860,0,0,,0,0,,0,0,,0,0,0
1880,0,0,,0,0,,0,0,,0,0,0
